setup,scheme,sum_se,mean_se,tau_p_actual,n_active_ap,n_active_rf,ee_bps_per_hz_per_watt
13,MJH weighted-count default,282.477504429164,5.64955008858328,7,155,560,2.30892313408485
13,MJH weighted-count strict,288.6488090965954,5.7729761819319085,3,155,560,2.3593663300586782
13,MJH weighted-power,282.477504429164,5.64955008858328,7,155,560,2.30892313408485
13,MJH beam-resource matching,289.1375756598172,5.782751513196343,4,155,560,2.3633614249150647
13,TopAP (bisect),265.3962828790869,5.307925657581738,15,193,1544,1.467155937968878
13,Hybrid#3 (TopAP N=8 adaptive),279.78530453638984,5.595706090727797,8,168,1344,1.7457485723984396
13,Hybrid#4 (TopAP+greedy),265.38280116030376,5.307656023206075,15,181,1448,1.5520218402084143
14,Random,283.89415449320876,5.677883089864175,15,200,1600,1.5208615419279043
14,Gao matching,283.71689474996913,5.674337894999383,15,200,1600,1.5199119361605493
14,GC (Liu),283.9301050119561,5.678602100239122,15,200,1600,1.5210541339926222
14,Structured (Chen),283.5503017886874,5.671006035773749,14,200,1600,1.5190194738679685
14,Mussbah,301.554602727701,6.03109205455402,6,164,631,2.324538280957663
14,MJH weighted-count default,301.554602727701,6.03109205455402,6,164,631,2.324538280957663
14,MJH weighted-count strict,308.14670204304497,6.1629340408608995,3,164,631,2.3753535796524363
14,MJH weighted-power,301.554602727701,6.03109205455402,6,164,631,2.324538280957663
14,MJH beam-resource matching,303.9490080866094,6.078980161732188,5,164,631,2.342995591396856
14,TopAP (bisect),283.9283410356901,5.678566820713802,15,197,1576,1.541483098415727
14,Hybrid#3 (TopAP N=8 adaptive),298.06881350240326,5.961376270048065,8,175,1400,1.7951446735401955
14,Hybrid#4 (TopAP+greedy),283.9698517421829,5.679397034843658,15,186,1488,1.6216037978995885
15,Random,250.59466711652505,5.0118933423305005,15,200,1600,1.3424714309813846
15,Gao matching,251.44033844580883,5.028806768916176,15,200,1600,1.3470018131025476
15,GC (Liu),250.64577213393906,5.012915442678781,15,200,1600,1.342745207860388
15,Structured (Chen),250.6330149725715,5.012660299451429,15,200,1600,1.3426768659244903
15,Mussbah,265.90377717028394,5.318075543405679,7,156,618,2.124397687112788
15,MJH weighted-count default,265.90377717028394,5.318075543405679,7,156,618,2.124397687112788
15,MJH weighted-count strict,272.9285814949492,5.458571629898984,4,156,618,2.1805212902392745
15,MJH weighted-power,265.90377717028394,5.318075543405679,7,156,618,2.124397687112788
15,MJH beam-resource matching,272.77845797527425,5.455569159505485,4,156,618,2.1793219012671714
15,TopAP (bisect),250.61396274161498,5.0122792548323,15,195,1560,1.3729137424786033
15,Hybrid#3 (TopAP N=8 adaptive),265.79058433656087,5.315811686731218,8,162,1296,1.711281796350859
15,Hybrid#4 (TopAP+greedy),250.63073209989798,5.01261464199796,15,179,1432,1.4800299125037037
16,Random,278.4167598871765,5.56833519774353,15,200,1600,1.491518356538446
16,Gao matching,279.95932378378836,5.599186475675768,15,200,1600,1.4997820916988664
16,GC (Liu),280.0718734352118,5.601437468704236,15,200,1600,1.5003850362600635
16,Structured (Chen),280.05113207453127,5.6010226414906255,15,200,1600,1.5002739218278465
16,Mussbah,290.51043912194575,5.810208782438915,9,163,682,2.2132161391770566
16,MJH weighted-count default,290.51043912194575,5.810208782438915,9,163,682,2.2132161391770566
16,MJH weighted-count strict,302.5131728032795,6.05026345606559,3,163,682,2.3046574105408753
16,MJH weighted-power,290.51043912194575,5.810208782438915,9,163,682,2.2132161391770566
16,MJH beam-resource matching,300.0951977640463,6.001903955280926,6,163,682,2.286236381000137
16,TopAP (bisect),279.838025391544,5.59676050783088,15,195,1560,1.5330090411771418
16,Hybrid#3 (TopAP N=8 adaptive),294.64740228967906,5.892948045793581,8,170,1360,1.8197472092002829
16,Hybrid#4 (TopAP+greedy),280.03079619045315,5.6006159238090625,15,183,1464,1.6220348285395756
17,Random,304.84875041643465,6.096975008328693,15,200,1600,1.6331183058023289
17,Gao matching,304.84512241478126,6.0969024482956256,15,200,1600,1.6330988700791857
17,GC (Liu),304.8329253343731,6.096658506687462,15,200,1600,1.633033528576999
17,Structured (Chen),304.837702174908,6.0967540434981595,15,200,1600,1.63305911879415
17,Mussbah,323.5870934718089,6.471741869436178,7,158,634,2.551613301131362
17,MJH weighted-count default,323.5870934718089,6.471741869436178,7,158,634,2.551613301131362
17,MJH weighted-count strict,333.9896658564442,6.679793317128884,2,158,634,2.633641733655757
17,MJH weighted-power,323.5870934718089,6.471741869436178,7,158,634,2.551613301131362
17,MJH beam-resource matching,329.14298940952943,6.582859788190588,4,158,634,2.5954237566791654
17,TopAP (bisect),304.8715408447255,6.0974308168945095,15,200,1600,1.6332403973824583
17,Hybrid#3 (TopAP N=8 adaptive),323.6617478236952,6.473234956473903,7,182,1456,1.883762233914222
17,Hybrid#4 (TopAP+greedy),304.84522804799207,6.096904560959842,15,190,1520,1.7086140759345658
18,Random,288.920041806834,5.778400836136679,15,200,1600,1.5477859382508967
18,Gao matching,289.3755700945337,5.787511401890674,15,200,1600,1.5502262683635737
18,GC (Liu),289.36068314822836,5.787213662964567,15,200,1600,1.5501465168655093
18,Structured (Chen),291.3140362157584,5.8262807243151675,14,200,1600,1.560610908298706
18,Mussbah,307.658082614068,6.15316165228136,6,159,639,2.412594586128381
18,MJH weighted-count default,307.658082614068,6.15316165228136,6,159,639,2.412594586128381
18,MJH weighted-count strict,315.46373693359425,6.309274738671885,3,159,639,2.4738050025506326
18,MJH weighted-power,307.658082614068,6.15316165228136,6,159,639,2.412594586128381
18,MJH beam-resource matching,312.8997728579827,6.257995457159654,4,159,639,2.4536988971127736
18,TopAP (bisect),289.3675587558596,5.787351175117192,15,195,1560,1.5852137434696716
18,Hybrid#3 (TopAP N=8 adaptive),305.99048118413333,6.1198096236826665,7,172,1376,1.8707386255398415
18,Hybrid#4 (TopAP+greedy),289.3862873862597,5.787725747725194,15,186,1488,1.652534238429198
19,Random,248.90165776154666,4.978033155230933,15,200,1600,1.3334017380082859
19,Gao matching,249.01791362587807,4.980358272517561,15,200,1600,1.3340245372814898
19,GC (Liu),249.05980640527338,4.981196128105467,15,200,1600,1.3342489628853933
