K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
30,42,MJH weighted-count strict,205.77006717816374,6.859002239272125,2,2.1833526147611413
30,42,MJH beam-resource matching,202.88730136121671,6.76291004537389,3,2.1527646173400896
30,43,Random,209.34072375054942,6.9780241250183135,15,1.1760714817446598
30,43,Gao matching,207.64724659893812,6.921574886631271,15,1.166557565162574
30,43,Mussbah,224.2413904377337,7.474713014591123,5,2.345621238888428
30,43,Hybrid#3 (TopAP N=8 adaptive),221.59086215744358,7.386362071914786,6,1.7468731742802017
30,43,MJH weighted-count strict,226.2798407204357,7.542661357347856,2,2.3669439405903314
30,43,MJH beam-resource matching,227.383299774359,7.579443325811966,4,2.3784863993133785
30,44,Random,190.4036254263154,6.346787514210513,15,1.0696832889118844
30,44,Gao matching,187.98942540882507,6.266314180294169,15,1.0561203674653095
30,44,Mussbah,202.77505811870662,6.759168603956888,5,2.096407941263444
30,44,Hybrid#3 (TopAP N=8 adaptive),197.47283498603005,6.582427832867668,7,1.5367535796578213
30,44,MJH weighted-count strict,203.68837017472856,6.789612339157618,3,2.1058502990408745
30,44,MJH beam-resource matching,204.776962569542,6.825898752318067,4,2.1171048081627504
30,45,Random,232.76251824209066,7.758750608069689,15,1.307654596865678
30,45,Gao matching,235.06011693330788,7.8353372311102625,15,1.3205624546815051
30,45,Mussbah,250.51071995352024,8.350357331784007,5,2.4941330142724043
30,45,Hybrid#3 (TopAP N=8 adaptive),249.7571838985382,8.325239463284607,6,1.8374631885123283
30,45,MJH weighted-count strict,257.00669998706314,8.56688999956877,2,2.558808243598797
30,45,MJH beam-resource matching,254.46853483123672,8.482284494374557,3,2.5335377820712544
30,46,Random,223.63906328260668,7.454635442753556,15,1.2563992319247568
30,46,Gao matching,222.5087633113097,7.416958777043657,15,1.2500492320860097
30,46,Mussbah,240.37640181408918,8.012546727136305,5,2.6296510427096513
30,46,Hybrid#3 (TopAP N=8 adaptive),236.48257041026844,7.882752347008948,6,1.7942531897592449
30,46,MJH weighted-count strict,241.1035936961464,8.036786456538213,3,2.637606319835318
30,46,MJH beam-resource matching,241.39263102737067,8.04642103424569,3,2.6407683079244144
30,47,Random,196.92603577434025,6.564201192478008,15,1.106326043676069
30,47,Gao matching,199.20586073663654,6.640195357887885,15,1.119134049082228
30,47,Mussbah,209.40005536369551,6.980001845456517,7,2.085450207785037
30,47,Hybrid#3 (TopAP N=8 adaptive),209.20047174030162,6.973349058010054,7,1.5872569934772507
30,47,MJH weighted-count strict,214.34893546245058,7.14496451541502,2,2.134736933198393
30,47,MJH beam-resource matching,211.54904818762216,7.051634939587405,4,2.1068523870891562
30,48,Random,197.66203857136523,6.588734619045508,15,1.1104608908503666
30,48,Gao matching,197.30672786573032,6.576890928857678,15,1.10846476329062
30,48,Mussbah,207.39356641331975,6.913118880443991,7,2.0623863008484467
30,48,Hybrid#3 (TopAP N=8 adaptive),203.2960287527426,6.776534291758086,9,1.5719777982040797
30,48,MJH weighted-count strict,213.93752216421802,7.1312507388072675,3,2.1274614375916676
30,48,MJH beam-resource matching,211.82143506799198,7.060714502266399,5,2.106418407597375
30,49,Random,234.65374183689093,7.821791394563031,15,1.3182794485218594
30,49,Gao matching,238.64566199175619,7.954855399725206,15,1.3407059662458214
30,49,Mussbah,254.2016993816789,8.473389979389298,6,2.756470390172185
30,49,Hybrid#3 (TopAP N=8 adaptive),254.26434302982645,8.475478100994215,6,2.004448900511048
