tau_p_design,setup,scheme,sum_se,mean_se,p5_se,tau_p_actual,ee_bps_per_hz_per_watt
9,94,Gao matching,285.45526172340874,5.709105234468175,2.013098187858388,9,1.5292246163754042
9,94,GC (Liu),286.1670159822863,5.723340319645725,2.118753107896886,9,1.533037585619391
9,94,Structured (Chen),286.45586776767414,5.729117355353483,2.121515131622644,9,1.5345850058982546
9,94,Mussbah,289.8197942912101,5.796395885824202,1.9400469281621853,7,2.1780044661163087
9,94,MJH weighted-count default,289.8197942912101,5.796395885824202,1.9400469281621853,7,2.1780044661163087
9,94,MJH weighted-count strict,300.55123697444566,6.011024739488914,1.713983971338711,3,2.2586515804692815
9,94,MJH weighted-power,289.8197942912101,5.796395885824202,1.9400469281621853,7,2.1780044661163087
9,94,MJH beam-resource matching,300.8570800685214,6.017141601370428,1.8947146786206222,3,2.2609500005149408
9,94,TopAP (bisect),286.2943207508615,5.72588641501723,2.128367326896494,9,1.6196171266313117
9,94,Hybrid#3 (TopAP N=8 adaptive),289.78415437290784,5.795683087458157,1.9372886237015228,7,1.7196171755884158
9,94,Hybrid#4 (TopAP+greedy),286.2845455903243,5.725690911806486,2.1295503997466394,9,1.6195618268357024
9,95,Random,276.1690357945229,5.523380715890458,1.5647750993734892,9,1.4794769774706589
9,95,Gao matching,276.5726120286586,5.531452240573173,1.565974530466234,9,1.4816389930106715
9,95,GC (Liu),276.46005831530425,5.529201166306085,1.5593218003704064,9,1.4810360266891303
9,95,Structured (Chen),276.5520275949568,5.531040551899136,1.5571229138037619,9,1.4815287192586977
9,95,Mussbah,281.1334317813073,5.622668635626146,1.635910465820676,7,2.0908072817380967
9,95,MJH weighted-count default,281.1334317813073,5.622668635626146,1.635910465820676,7,2.0908072817380967
9,95,MJH weighted-count strict,287.07830111913574,5.741566022382715,1.6187504675254403,3,2.1350196545667472
9,95,MJH weighted-power,281.1334317813073,5.622668635626146,1.635910465820676,7,2.0908072817380967
9,95,MJH beam-resource matching,286.1350591247033,5.722701182494066,1.5667615435616793,4,2.128004703630799
9,95,TopAP (bisect),276.8807640054007,5.537615280108014,1.5659570757904708,9,1.5306441093033625
9,95,Hybrid#3 (TopAP N=8 adaptive),280.34754226223424,5.606950845244685,1.6210055617411128,8,1.6636190817658052
9,95,Hybrid#4 (TopAP+greedy),276.6740794382535,5.53348158876507,1.5684304513354006,9,1.5295015217483037
9,96,Random,300.65473222101343,6.013094644420269,1.630825365604636,9,1.610650351184001
9,96,Gao matching,300.45474224742037,6.009094844948407,1.6615344994740067,9,1.6095789763254666
9,96,GC (Liu),300.55068551119626,6.011013710223925,1.6601816599645554,9,1.6100929580956946
9,96,Structured (Chen),300.5909718332251,6.011819436664503,1.6625349788524035,9,1.610308777677992
9,96,Mussbah,304.52133396989075,6.090426679397815,1.6090905302242844,8,2.4547943784435846
9,96,MJH weighted-count default,304.52133396989075,6.090426679397815,1.6090905302242844,8,2.4547943784435846
9,96,MJH weighted-count strict,308.81938909193866,6.176387781838773,1.602094555108715,5,2.489441676924443
9,96,MJH weighted-power,304.52133396989075,6.090426679397815,1.6090905302242844,8,2.4547943784435846
9,96,MJH beam-resource matching,306.9612060869183,6.1392241217383665,1.616405188748683,6,2.4744625714037296
9,96,TopAP (bisect),300.5905025661961,6.0118100513239225,1.6618229921278564,9,1.8377246947189494
9,96,Hybrid#3 (TopAP N=8 adaptive),300.563083778388,6.011261675567759,1.661005691820603,9,1.9249383601113605
9,96,Hybrid#4 (TopAP+greedy),300.55014842875863,6.0110029685751725,1.6616203247855084,9,1.7922783785445033
9,97,Random,311.0676748970612,6.221353497941224,1.5887941387328142,9,1.6664339726628281
9,97,Gao matching,310.65081094654323,6.213016218930864,1.5910874535218098,9,1.6642007729279105
9,97,GC (Liu),310.7007814762138,6.214015629524276,1.5944104157798604,9,1.6644684721940028
