K,setup,scheme,sum_se,mean_se,tau_p_actual,ee_bps_per_hz_per_watt
25,31,MJH beam-resource matching,137.9958531737493,5.519834126949973,4,2.848015681901816
25,32,Random,160.89690078020422,6.435876031208169,10,1.7238953655021885
25,32,Gao matching,160.98401095047987,6.439360438019195,10,1.7248286887551418
25,32,Mussbah,170.1054342089276,6.8042173683571034,5,3.537721335367645
25,32,Hybrid#3 (TopAP N=8 adaptive),165.94494060218886,6.637797624087555,8,1.9694780805323573
25,32,MJH weighted-count strict,174.92912385783268,6.997164954313307,2,3.6380407041490335
25,32,MJH beam-resource matching,173.72938576507298,6.949175430602919,3,3.613089478649698
25,33,Random,135.55112199027838,5.422044879611135,10,1.45233344989584
25,33,Gao matching,135.74304955769156,5.429721982307663,10,1.4543898166895528
25,33,Mussbah,142.29726927339087,5.691890770935634,6,2.878278042141204
25,33,Hybrid#3 (TopAP N=8 adaptive),136.8091530522832,5.472366122091327,8,1.725028723996426
25,33,MJH weighted-count strict,143.28973036628324,5.731589214651329,3,2.8983527701099
25,33,MJH beam-resource matching,144.80704320685214,5.7922817282740855,4,2.929043789370977
25,34,Random,163.3989796238315,6.53595918495326,10,1.7507033531124807
25,34,Gao matching,161.28969911714503,6.451587964685801,10,1.7281039191122685
25,34,Mussbah,178.14483872186497,7.125793548874599,3,3.5414122070478755
25,34,Hybrid#3 (TopAP N=8 adaptive),168.74380970953095,6.749752388381238,7,1.9642309792553805
25,34,MJH weighted-count strict,177.6469769887475,7.1058790795499,2,3.531515015348502
25,34,MJH beam-resource matching,177.0329491973209,7.081317967892836,2,3.5193085123051002
25,35,Random,148.83888265227077,5.953555306090831,10,1.594702314131473
25,35,Gao matching,149.04279544507327,5.9617118178029305,10,1.5968870940543567
25,35,Mussbah,156.83917985950467,6.2735671943801865,4,3.299214946383719
25,35,Hybrid#3 (TopAP N=8 adaptive),151.35847483816073,6.05433899352643,8,1.8888328806758832
25,35,MJH weighted-count strict,160.1463524679765,6.40585409871906,2,3.3687834898427904
25,35,MJH beam-resource matching,159.59915466715606,6.3839661866862425,3,3.357272825449414
25,36,Random,157.5971959774066,6.303887839096265,10,1.688541385472214
25,36,Gao matching,157.8331667598717,6.313326670394868,10,1.6910696438557684
25,36,Mussbah,165.40498056902842,6.616199222761137,5,3.246842515913664
25,36,Hybrid#3 (TopAP N=8 adaptive),158.63024166478834,6.345209666591534,8,2.0870111829596105
25,36,MJH weighted-count strict,169.99478284067976,6.799791313627191,2,3.336938745809326
25,36,MJH beam-resource matching,168.616430244056,6.744657209762241,3,3.3098821614353726
